District,County,DEM,REP,LIB,OTH,UNA,NLM,Total
Legislative District Code 01A,STATEWIDE,"5,477","18,656",0,0,0,0,"24,133"
Legislative District Code 01B,STATEWIDE,"8,282","14,915",,,,0,"23,197"
Legislative District Code 01C,STATEWIDE,"6,827","16,324",172,273,"5,411",1,"29,008"
Legislative District Code 02A,STATEWIDE,"16,528","28,452",390,588,"13,851",1,"59,810"
Legislative District Code 02B,STATEWIDE,"10,492","7,098",160,407,"6,653",5,"24,815"
Legislative District Code 03,STATEWIDE,"42,091","20,820",505,885,"23,333",20,"87,654"
Legislative District Code 04,STATEWIDE,"32,150","40,748",662,727,"25,618",18,"99,923"
Legislative District Code 05,STATEWIDE,"26,212","47,103",14,19,715,0,"74,063"
Legislative District Code 06,STATEWIDE,"34,772","25,120",0,0,0,0,"59,892"
Legislative District Code 07A,STATEWIDE,"24,804","23,570",,,,0,"48,374"
Legislative District Code 07B,STATEWIDE,"9,647","16,656",,,,0,"26,303"
Legislative District Code 08,STATEWIDE,"45,235","18,115",,,,0,"63,350"
Legislative District Code 09A,STATEWIDE,"27,188","19,579",261,588,"17,896",6,"65,518"
Legislative District Code 09B,STATEWIDE,"14,469","6,011",90,272,"7,054",4,"27,900"
Legislative District Code 10,STATEWIDE,"56,739","11,781",0,0,0,0,"68,520"
Legislative District Code 11A,STATEWIDE,"17,534","3,239",,,,0,"20,773"
Legislative District Code 11B,STATEWIDE,"34,636","15,003",,,,0,"49,639"
Legislative District Code 12A,STATEWIDE,"34,378","10,663",193,484,"10,667",12,"56,397"
Legislative District Code 12B,STATEWIDE,"12,943","7,055",126,343,"5,160",6,"25,633"
Legislative District Code 13,STATEWIDE,"49,868","14,770",83,160,"5,792",3,"70,676"
Legislative District Code 14,STATEWIDE,"52,005","17,277",326,942,"21,966",19,"92,535"
Legislative District Code 15,STATEWIDE,"49,371","15,881",353,951,"27,352",13,"93,921"
Legislative District Code 16,STATEWIDE,"56,404","12,882",270,677,"22,400",14,"92,647"
Legislative District Code 17,STATEWIDE,"45,398","10,570",316,865,"20,824",20,"77,993"
Legislative District Code 18,STATEWIDE,"51,340","9,422",260,820,"17,593",10,"79,445"
Legislative District Code 19,STATEWIDE,"48,333","12,530",237,890,"19,477",16,"81,483"
Legislative District Code 20,STATEWIDE,"52,378","5,646",219,854,"14,911",10,"74,018"
Legislative District Code 21,STATEWIDE,"44,922","10,379",198,"1,064","11,690",6,"68,259"
Legislative District Code 22,STATEWIDE,"50,086","4,796",6,65,486,1,"55,440"
Legislative District Code 23,STATEWIDE,"73,125","9,013",231,"1,464","14,413",8,"98,254"
Legislative District Code 24,STATEWIDE,"75,189","4,145",61,608,"4,538",5,"84,546"
Legislative District Code 25,STATEWIDE,"79,407","3,555",105,932,"6,879",6,"90,884"
Legislative District Code 26,STATEWIDE,"73,590","4,720",172,"1,512","10,672",12,"90,678"
Legislative District Code 27A,STATEWIDE,"23,200","4,133",72,251,"4,112",3,"31,771"
Legislative District Code 27B,STATEWIDE,"18,909","8,967",121,208,"4,821",5,"33,031"
Legislative District Code 27C,STATEWIDE,"11,468","14,727",199,329,"7,623",10,"34,356"
Legislative District Code 28,STATEWIDE,"61,073","19,483",367,956,"20,008",18,"101,905"
Legislative District Code 29A,STATEWIDE,"9,002","15,618",181,308,"6,972",3,"32,084"
Legislative District Code 29B,STATEWIDE,"10,869","7,900",202,331,"6,543",10,"25,855"
Legislative District Code 29C,STATEWIDE,"10,464","14,249",250,395,"7,909",6,"33,273"
Legislative District Code 30A,STATEWIDE,"28,049","16,790",29,52,"1,564",0,"46,484"
Legislative District Code 30B,STATEWIDE,"10,595","13,199",0,0,0,0,"23,794"
Legislative District Code 31,STATEWIDE,"32,455","38,951",504,742,"19,121",9,"91,782"
Legislative District Code 32,STATEWIDE,"42,427","17,737",343,647,"14,492",8,"75,654"
Legislative District Code 33A,STATEWIDE,"13,897","6,664",166,310,"7,812",2,"28,851"
Legislative District Code 33B,STATEWIDE,"12,552","12,961",21,38,"1,123",1,"26,696"
Legislative District Code 33C,STATEWIDE,"12,827","11,893",246,278,"8,658",5,"33,907"
Legislative District Code 34A,STATEWIDE,"27,776","16,096",0,0,0,0,"43,872"
Legislative District Code 34B,STATEWIDE,"11,044","13,989",,,,0,"25,033"
Legislative District Code 35A,STATEWIDE,"16,327","35,787",,,,0,"52,114"
Legislative District Code 35B,STATEWIDE,"7,669","16,463",,,,0,"24,132"
Legislative District Code 36,STATEWIDE,"29,523","44,896",,,,0,"74,419"
Legislative District Code 37A,STATEWIDE,"14,731","6,149",12,26,475,0,"21,393"
Legislative District Code 37B,STATEWIDE,"21,743","30,803",53,118,"2,213",1,"54,931"
Legislative District Code 38A,STATEWIDE,"11,906","13,490",0,0,0,0,"25,396"
Legislative District Code 38B,STATEWIDE,"10,929","8,484",,,,0,"19,413"
Legislative District Code 38C,STATEWIDE,"9,859","18,005",28,84,"1,397",1,"29,374"
Legislative District Code 39,STATEWIDE,"44,523","10,811",342,"1,048","21,074",19,"77,817"
Legislative District Code 40,STATEWIDE,"65,601","4,748",0,0,0,0,"70,349"
Legislative District Code 41,STATEWIDE,"68,306","6,245",,,,0,"74,551"
Legislative District Code 42A,STATEWIDE,"11,427","15,186",,,,0,"26,613"
Legislative District Code 42B,STATEWIDE,"13,448","7,555",,,,0,"21,003"
Legislative District Code 42C,STATEWIDE,"7,729","17,569",,,,0,"25,298"
Legislative District Code 43A,STATEWIDE,"46,957","2,568",,,,0,"49,525"
Legislative District Code 43B,STATEWIDE,"14,301","4,054",,,,0,"18,355"
Legislative District Code 44A,STATEWIDE,"12,892","5,950",,,,0,"18,842"
Legislative District Code 44B,STATEWIDE,"39,810","7,464",,,,0,"47,274"
Legislative District Code 45,STATEWIDE,"66,047","5,404",0,0,0,0,"71,451"
Legislative District Code 46,STATEWIDE,"49,048","9,512",,,,0,"58,560"
Legislative District Code 47A,STATEWIDE,"32,564","2,429",,,,0,"34,993"
Legislative District Code 47B,STATEWIDE,"9,063",965,7,36,197,1,"10,269"
